Epoch,Train_Loss,Val_Loss,Val_R2,Val_MAE,Val_MSE
1,9.627963980761441,6.09936120112737,0.03979940710834773,1.9905914001464844,6.1370030245934775
2,6.021562636982311,5.775659094254176,0.09836752268568227,1.9735628067652384,5.762672176327275
3,1.3731171915476972,0.7291031181812286,0.886522022531467,0.7572479290366173,0.7252804217209229
4,0.3057812165807594,0.08500380457068483,0.9867125301307029,0.2111045575539271,0.08492521602334856
5,0.17484430731697517,0.14057291205972433,0.9780117196421367,0.31047416655222576,0.14053536736051903
6,0.1990527807311578,0.08866346006592114,0.9860907662617536,0.26386120065053303,0.08889914269301796
7,0.18276317065412348,0.023742786492221057,0.9962981829922672,0.11122078190247218,0.023659704379614975
8,0.1202892839569937,0.04409774765372276,0.9931017337559493,0.1543226741552353,0.04408941331383562
9,0.16847625896334648,0.07879845503096779,0.9876955737040266,0.24693771174550055,0.07864221492185357
10,0.14019465514204718,0.02257892470030735,0.9964484914401655,0.11080315328141054,0.02269902657312117
11,0.13424947349862618,0.027270429767668247,0.9957689087082181,0.1174059900045395,0.027042495336103835
12,0.13054837320338597,0.15344221331179142,0.9760655165152265,0.3699943524599075,0.15297428331697716
13,0.12626705996014856,0.012947708911572894,0.9979485780228754,0.09056629343827566,0.01311140919046693
14,0.11068268607963215,0.012096961630353084,0.9980882065819028,0.08459790508945783,0.01221899056938453
15,0.1211494521999901,0.03950875221441189,0.9938242239940231,0.17682328946391743,0.03947170654597638
16,0.11271157664331523,0.018908853953083355,0.9970374892242146,0.10849755888183911,0.01893452027209587
17,0.10290590782057155,0.07004740741103888,0.9890473959290551,0.22378458182513714,0.07000221079653918
18,0.09912152696739543,0.02967577489713828,0.9953348044846017,0.15028352229793868,0.029817018652424934
19,0.0849711614576253,0.006692525659066935,0.9989360415142149,0.05960432892044385,0.006800158731043287
20,0.08711873001673005,0.008646351130058369,0.9986351063045721,0.069514855970939,0.008723548807509474
1,21.083574693853205,6.369998296101888,-0.0017911951541120796,2.0294425868988037,6.4028242017193095
2,7.3833567706021395,6.352623820304871,0.0008295483012145111,2.0223818009694416,6.386074044896777
3,7.254610000957142,6.315328319867452,0.00665377458834715,2.0179689025878904,6.348849224786628
4,7.155740729245273,5.978495558102925,0.05915326799327103,1.9681751384735107,6.013305222626239
5,6.694200780174949,5.1697612007459,0.1862831686993064,1.81004327583313,5.2007702263713025
6,5.821672088449652,4.682452877362569,0.262350292336643,1.7519724966684977,4.714596637966596
7,4.870779614015059,2.804292460282644,0.5574854136627467,1.3383975038528442,2.828277106765848
8,3.0419762112877584,1.88446040948232,0.7033369809256,1.1256475696563721,1.8960849001996618
9,1.8285903020338579,0.9866571029027303,0.8448664923912472,0.7770729465484619,0.9915165773264002
10,0.9351521351120688,0.3789440269271533,0.941021356340676,0.47188512245814007,0.376954687596756
11,0.9066499612548135,0.2915799493590991,0.9546533165424753,0.4278866893450419,0.2898277043300206
12,0.7000299139456315,0.3118412134548028,0.9514951692993723,0.4469983787536621,0.31001261082405535
13,0.7335926912047647,0.13463791894416013,0.9789225948726072,0.27769939390818277,0.1347136212734947
14,0.6140069332989779,0.2685281311472257,0.9579068473183123,0.38386106316248575,0.26903316581407405
15,0.698201185464859,0.10429974024494489,0.9836438109431691,0.25640005167325336,0.10453855418929159
16,0.43059444210746073,0.13301677567263445,0.9792209279572807,0.2933488882382711,0.13280686235610742
